Asset,Model,Sharpe,Max Drawdown
NVDA,Buy & Hold,0.6552125095090044,-0.3461565132842931
NVDA,XGBoost Baseline,0.9831789099660371,-0.12759374737342422
NVDA,XGBoost FinBERT,1.00850089457121,-0.1281740931988744
NVDA,XGBoost Gemma,1.0271405598157841,-0.127843580913667
NVDA,LSTM-Hybrid,1.2706284895371516,-0.10885578319534728
USO,Buy & Hold,0.438178085798782,-0.2795838690293887
USO,XGBoost Baseline,0.3341875612098826,-0.13063189474083692
USO,XGBoost FinBERT,0.35121462152325333,-0.1272556615626429
USO,XGBoost Gemma,0.4547894765212678,-0.12351192574095482
USO,LSTM-Hybrid,0.8400837469590987,-0.14098543839978117
EGX,Buy & Hold,2.3365188537015475,-0.1041680954941675
EGX,XGBoost Baseline,2.170205776668626,-0.07881110295051974
EGX,XGBoost FinBERT,2.1001101231637382,-0.08767841119402231
EGX,XGBoost Gemma,2.4263421708833492,-0.08573462823596412
EGX,LSTM-Hybrid,1.752175853684731,-0.12772158622499863
